Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
1811,-13.2432,4.96414,-10.2789,-0.0315035,-0.0231026,0.0280856,0.0178918,-0.267962,-0.00216748,0,0,0
1830,12.0957,12.2752,-3.13428,0.0193812,0.052016,0.0698827,0.010941,-0.260355,0.00106256,0,0,0
1853,-17.3534,-2.88766,-1.76779,-0.0344901,0.0083823,-0.0478741,0.00783906,-0.275822,0.00182099,0,0,0
1879,-7.54601,-15.5748,7.34837,-0.063723,-0.0376365,0.0502592,0.0131407,-0.28016,0.000834675,0,0,0
1901,15.8092,11.5854,4.59778,0.0200999,-0.0242259,0.0622164,0.00602741,-0.272622,0.00435645,0,0,0
1920,-10.8603,14.5433,-16.2139,-0.0436896,0.0073974,0.0845763,-0.00120483,-0.274986,0.00762475,0,0,0
1942,15.6615,-10.6894,-19.9839,-0.0654,0.0752969,-0.0732473,0.00668197,-0.274661,0.00343803,0,0,0
1960,-18.1164,-17.6513,-12.5415,0.0723422,-0.0176883,-0.0117256,0.0118584,-0.278189,0.00213819,0,0,0
1977,-9.63347,-19.8267,-5.24223,0.0793377,-0.0176723,-0.0451643,0.0143764,-0.274968,0.00124151,0,0,0
1998,-19.7131,17.6391,-2.40754,0.0499185,0.013376,-0.0623761,0.0173218,-0.277264,0.000873268,0,0,0
2017,-11.1069,-4.67971,-26.4013,-0.0143183,-0.0728746,0.0278993,0.0178525,-0.278646,0.000942232,0,0,0
2036,1.20548,7.42515,-21.0499,0.033058,0.0397554,0.0484491,0.0205651,-0.272765,0.00162511,0,0,0
2054,-18.7573,14.7472,-1.09183,0.036034,-0.0723156,0.00906907,0.0171123,-0.278187,0.00275594,0,0,0
2073,-8.31019,16.8993,-12.3768,0.0339365,-0.0490826,-0.060023,0.016367,-0.27419,0.00244574,0,0,0
2092,-10.3781,0.85757,8.9188,-0.0686582,0.0702394,-0.0101658,0.0152418,-0.278844,0.00242001,0,0,0
2110,-11.5744,-1.73528,-27.2023,0.0437216,-0.0673272,-0.0166235,0.0142018,-0.2823,0.00375431,0,0,0
2131,-7.55455,19.7046,-25.8955,-0.0432478,-0.0542041,-0.0440144,0.0083555,-0.28334,0.00444255,0,0,0
2151,5.82232,6.27033,8.72249,-0.00777006,0.0734922,0.0286393,0.00392451,-0.287326,0.00681914,0,0,0
2168,-13.9695,5.45366,-4.93284,-0.0135996,0.0772827,0.00707797,0.0013564,-0.291342,0.00758615,0,0,0
2188,11.8101,-12.1397,-25.0573,-0.0192907,0.0158303,-0.0748497,0.00385502,-0.284612,0.00479729,0,0,0
